ten sach,ten tac gia,gia sach,so luong da ban,so luong binh luan,danh gia trung binh,anh sach
Managing By The Numbers: A Commonsense Guide To Understanding And Using Your Company'S,"JOHN CASE, CHUCK KREMER, RON RIZZUTO",450000,9,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/ab/0c/93/d22d1bd0e3d4a348cee32d9a31321e4d.jpg
Harvard Business Review 20 Minute Manager Series Finance Basics,HARVARD BUSINESS REVIEW,272400,21,1,5,https://salt.tikicdn.com/cache/280x280/ts/product/99/05/d7/e691c72d858e6efb5681160e071b6ac1.jpg
What You Do Is Who You Are,BEN HOROWITZ,350000,N/A,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/48/4d/65/bdb770d8412f37e0348cb51a2ac64a4c.jpg
"Tap Dancing to Work: Warren Buffett on Practically Everything, 1966-2013",CAROL LOOMIS,280900,39,5,5,https://salt.tikicdn.com/cache/280x280/ts/product/47/04/a2/733ab3139951ea40c02c74014e1193f8.jpg
Algorithmic trading theory and practice - A practical guide with applications on the Vietnamese stock market,ALGOTRADE,721000,4,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/23/6d/56/8a479478a26137060ef347d24046356c.jpeg
Mind Your Business: A Workbook to Grow Your Creative Passion Into a Full-time Gig,N/A,323000,1,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/8d/1f/fc/73c596eb3a8e215e686c49effccc6f83.jpg
Lisa in London Level 1,N/A,102600,N/A,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/cb/e9/19/f01def12d3b13c36441350a886aecc3d.jpg
Billion Dollar Loser: The Epic Rise And Spectacular Fall Of Adam Neumann And WeWork,N/A,356900,1,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/24/db/a1/516402602a66815e772e60c27618ea54.jpg
Kakebo,N/A,334000,N/A,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/37/45/75/97588dbfe4b3e9411bf96fa661f97b87.jpg
The Lies about Money,N/A,324000,N/A,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/b3/6c/bc/133beb99b43d6e8d6edd38254ccf542f.jpg
We Need to Talk About Money,N/A,284000,N/A,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/e7/af/b0/54558365d38ecacf5d1b0758264e702a.jpg
 Principle-Centered Leadership,N/A,344000,N/A,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/c0/54/d6/78d172e0c5ce8d12e0c34668ef6ad022.jpg
Combo The Black Swan - Fooled By Randomness,"NASSIM NICHOLAS TALEB, NASSIM NICHOLAS TALEB",517600,13,1,5,https://salt.tikicdn.com/cache/280x280/ts/product/f4/f0/7c/7fa58d60926a8f5d7378ea6be03d2e2b.jpg
AISE Cost Accounting Principles,N/A,802750,N/A,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/87/be/40/f68758746b27e8cc4a6f75e0ab54291f.jpg
Finance and Accounting for Nonfinancial Managers,N/A,457600,6,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/cf/e3/4e/7774c3df06a21b8ecd0a9dfd516e0fee.jpg
