ten sach,ten tac gia,gia sach,so luong da ban,so luong binh luan,danh gia trung binh,anh sach
Combo Giáo Trình Kỹ Thuật Lập Trình C Căn Bản Và Nâng Cao + Giáo Trình C++ Và Lập Trình Hướng Đối Tượng (2 quyển),.,278530,327,72,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/df/b3/7f/38046471d48c5bee089aa086659887b1.jpg
Lập Trình Arduino Với IoT-Hệ Vạn Vật Kết Nối,.,145000,43,13,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/f5/d3/e4/745825bb53985a428548fe38042b41e1.jpg
AI 2041 - 10 Viễn cảnh cho tương lai,"KAI-FU LEE, CHEN QIUFAN",285000,8,2,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/9e/c3/e8/5fb480bf1126ed128d745683ca25e0a1.jpg
Combo 2Q: Tớ Học Lập Trình - Làm Quen Với Python + Clean code – Mã sạch và con đường trở thành lập trình viên giỏi,N/A,452500,66,14,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/0c/74/4c/724bc959159f76d156bfcbaf1c176b8e.jpg
Lập Trình Hệ Thống Nhúng Với RASPBERRY,"PHẠM QUANG HUY, NGUYỄN TẤT BẢO THIỆN",126400,57,11,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/32/b0/a6/4a2fca8aa7e555ce874d50fc31c2092e.jpg
Python cơ bản,BÙI VIỆT HÀ,125000,4481,899,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/38/40/88/b962e19641b05c06324b416c6aa5d38b.jpg
Bài Tập Lập Trình Cơ Bản Với Ngôn Ngữ Python,N/A,89000,110,14,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/a6/34/33/c5df1de5c586a032357fa48d7229c390.jpg
Python: Thuật toán & Cấu trúc dữ liệu. Bài tập và lời giải. Volume 1. ,BÙI VIỆT HÀ,250000,44,3,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/53/8c/28/17b470fe68933280996ec39ef428bfd8.png
Tự học lập trình Scratch,BÙI VIỆT HÀ,220000,339,51,4.5,https://salt.tikicdn.com/cache/280x280/ts/product/f5/93/98/cc0f7a4114a0d60d3596cbcb7618b02c.jpg
"Combo Sách Lập Trình: Kiến Thức Lập Trình từ A-Z, Thực Hành 3 Ngôn Ngữ Lập Trình Và Sổ Tay ""Dân IT"" Lập Trình Web",N/A,447000,20,3,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/76/9b/2a/43ba17d0249a8603bbe0400a0ae2905c.png
Combo 2Q: Giáo Trình Kỹ Thuật Lập Trình C Căn Bản Và Nâng Cao + Clean Code - Mã Sạch Và Con Đường Trở Thành Lập Trình Viên Giỏi (Tặng Móc Khóa),N/A,510500,19,4,4.5,https://salt.tikicdn.com/cache/280x280/ts/product/f7/ca/c8/ffa262be9c8f560b2d68394f38fb1b1d.jpg
Lập Trình Java Căn Bản ( Tặng Kèm Sổ Tay),N/A,92150,44,3,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/b5/18/13/10dd5027458ca3ecfc6ef7c9e4e6cb6a.jpg
Revit Toàn Tập (Lý Thuyết-Thực Hành),"PHẠM QUANG HUY, TRẦN TƯỜNG THỤY",175000,23,2,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/09/8e/42/951e1fc21b98376f48418e2fe800bb38.jpg
ƯỚC VỌNG VỀ QUỐC GIA LẬP TRÌNH: TỪ TIẾNG ANH ĐẾN TIẾNG CODE - Nguyễn Thanh Tùng - (bìa mềm),NGUYỄN THANH TÙNG,70400,1,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/c6/f3/60/797433c87cb19cf3e77f7842327b6cee.jpg
Vi Xử Lý Và Vi Điều Khiển,"TS. LÊ NGỌC BÍCH, KS. PHẠM QUANG HUY",140000,18,5,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/98/09/ad/9071ac7b44888b81bfa7fab697be9530.jpg
Giáo Trình Lập Trình Python (ĐHSP),N/A,115000,68,11,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/59/35/45/2978bc6a80e6b47c4115dd5bd78616e8.jpg
Python lập trình thuật toán,BÙI VIỆT HÀ,95000,595,71,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/00/a0/11/2124f4d03407b4c8d97d19ea6dbb5a61.jpg
Từ Nghiện Game Đến Mê Code,VŨ DUY NAM KHÁNH,66000,2,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/65/5e/bc/57aec92e9420d32fe2b86e97aca5465d.jpg
Giáo Trình Ngôn Ngữ Lập Trình C++,N/A,108000,155,29,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/ab/72/d8/9f840550c93147f88cd10e1cf970acf8.jpg
Lập Trình Python,N/A,78400,62,9,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/a0/90/90/6d1fe9c5b09d6e3f28cadaa8684897dd.jpg
STEM Với Arduino. Arduino Dành Cho Người Tự Học,KS.PHẠM QUANG HUY,136000,33,4,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/93/4a/b3/180b67369afeeb11c80e3a99af9332cc.jpg
Combo 2 Quyển Thế Giới Công Nghệ: How Technology Works – Hiểu Hết Về Công Nghệ + Mở Cửa Tương Lai,N/A,416000,1,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/bd/50/44/eaf811d2cba7beca33355dc91fca6f3c.jpg
Giáo Trình Kỹ Thuật Lập Trình C Căn Bản Và Nâng Cao,.,160350,87,21,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/57/00/c4/6daae98383337ec7095bcc77d1139fcf.jpg
Combo 2Q: Clean Code – Mã Sạch Và Con Đường Trở Thành Lập Trình Viên Giỏi + Giáo Trình C++ Và Lập Trình Hướng Đối Tượng,N/A,520500,7,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/44/71/ba/47c65a9c01511e5acc5a8cdca3e2324a.png
Lập Trình Ứng Dụng Python Dành Cho Người Bắt Đầu,PHẠM QUANG HUY - LÊ CẢNH TRUNG,155200,11,1,4.0,https://salt.tikicdn.com/cache/280x280/ts/product/e3/ae/a2/bc0fe0b6c5e266f0fe96b352afa5fd91.jpg
Lập Trình Java Căn Bản ( Tặng Kèm Sổ Tay),N/A,92150,44,3,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/b5/18/13/10dd5027458ca3ecfc6ef7c9e4e6cb6a.jpg
Lập trình hướng đối tượng JAVA core dành cho người mới bắt đầu học lập trình,N/A,289000,1560,222,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/5c/1d/ed/ad299b78f8a5289406ab1936faf066f4.jpg
