ten sach,ten tac gia,gia sach,so luong da ban,so luong binh luan,danh gia trung binh,anh sach
Sách- Phân Tích Và Khai Thác Dữ Liệu Với Power Query Trong Excel Và Power Bi ( Tặng sổ Tay Xương Rồng ),NGUYỄN QUỐC HUY,205000,4,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/2a/5a/7d/1169221c975a4170be0d3b7a87efdfa6.jpg
Sách- Vi Điều Khiển ARM Và Ứng Dụng STM32 ( Tặng Kèm Sổ Tay Xương Rồng),"BÙI ANH TUẤN, GS. TS. NGUYỄN TIẾN DŨNG",152000,N/A,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/b0/c3/8b/5d105e535172cd321f00b73de21e08bd.jpg
Kỹ Thuật CHIẾT XUẤT DƯỢC LIỆU (Giáo Trình Đào Tạo Dược Sĩ Đại Học),N/A,68000,45,4,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/a9/6e/17/fb6fd0b4a1863399c9b56ccaa0200c54.jpg
Giáo Trình Cấp Thoát Nước Trong Nhà ( Tặng Kèm Sổ Tay),BỘ XÂY DỰNG,78570,34,3,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/44/79/af/de09019edc2df9ce6b5a46828eb335af.jpg
Giáo Trình Điện Tử Cơ Bản - Lý Thuyết Và Thực Hành,N/A,86240,66,11,4.5,https://salt.tikicdn.com/cache/280x280/ts/product/70/51/9e/bcca03de19df3011d65b9b54107d4985.jpg
Khám Phá Giáo Dục Steam - 10 Chủ Đề Dạy Học Ở Tiểu Học,NHIỀU TÁC GIẢ,131000,2,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/b9/7b/c3/e919c88650cd2117321e240b5fc6ddf3.jpg
Nhập Môn Kỹ Thuật Hàng Không,NHIEU TAC GIA,155000,56,3,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/e0/4c/d9/6ddeb2426614871d91427a5686869c83.jpg
Cơ Sở Lý Thuyết Điều Khiển Tuyến Tính (Tái bản năm 2023),NGUYỄN DOÃN PHƯỚC,179450,11,1,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/96/87/02/853d58252aee0a4245bd33350901ae56.jpg
Giáo trình Cơ sở an toàn thông tin,N/A,121250,102,14,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/cb/ef/d5/49f065ce23fae8506492f9261eb7544c.jpg
"(Giáo trình) Vật Liệu Kỹ Thuật - Tập 1 (Chế tạo, cấu trúc, tính chất, lựa chọn và ứng dụng)",NGUYỄN KHẮC XƯƠNG,155000,3,1,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/83/b3/8d/3f031b99db8d8790e6c18c2c46567514.jpg
Giáo Trình Điện Tử Thực Hành,"TS.NGUYỄN VŨ QUỲNH, KS.PHẠM QUANG HUY",115000,83,20,4.5,https://salt.tikicdn.com/cache/280x280/ts/product/7c/13/06/789083de8b74ce470767769d33f656d2.JPG
"Giáo Trình Sức Bền Vật Liệu -  TS. Nguyễn Văn Thiên Ân chủ biên, TS. Trịnh Xuân Long, TS. Phạm Ngọc Quang, ThS. Nguyễn Thị Kim Loan, ThS. Nguyễn Văn Quyền",NHIEU TAC GIA,245000,1,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/5f/a1/8d/d3eaab8fbbf71f9dce29135994c7e98e.jpg
"Điều Khiển Logic Trong Công Nghiệp (Giáo trình dành cho sinh viên, cử nhân, kỹ sư các ngành: Kỹ thuật điều khiển và Tự động hóa, Kỹ sư điện; Kỹ thuật điện - Điện tử trong các trường đại học kỹ thuật) - TS. Nguyễn Kim Anh (Chủ biên)",N/A,206000,7,1,4.0,https://salt.tikicdn.com/cache/280x280/ts/product/0a/ca/b8/d104f0506c27573870368f842df28885.jpg
" Giáo Trình Ứng Dụng Công Nghệ Viễn Thám Trong Nghiên Cứu, Giám Sát Tài Nguyên Môi Trường",N/A,120000,9,4,4.5,https://salt.tikicdn.com/cache/280x280/ts/product/51/97/f7/d890ddbc3bf732ef9df81897ee7d1946.jpg
"THIẾT KẾ VÀ CHẾ TẠO KHUÔN DẬP - PGS.TS. Lê Trung Kiên, ThS. Lê Gia Bảo (Xuất bản lần thứ ba, có chỉnh lý và bổ sung - Năm 2022)",NHIEU TAC GIA,155200,94,8,4.5,https://salt.tikicdn.com/cache/280x280/ts/product/5d/be/49/865946a8d0e0baffee1e451122d961f6.jpg
Sách - Giáo trình Mạng máy tính và truyền thông,N/A,114000,10,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/a7/ff/8d/2e2e274dcbada3b2c01704c805fb178a.jpg
Giáo trình cơ sở lý thuyết mạch - Phần 1 : Mạch tuyến tính (Giáo trình có ứng dụng phần mềm Matlab),TRẦN QUANG KHÁNH,213000,3,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/ec/a6/ba/a9af75d70bb6c1f3e08183e55e1852e2.jpg
"Giáo Trình Mạng Cảm Biến Không Dây - PGS.TS. Nguyễn Tuấn Minh (Chủ biên), TS. Trần Anh Thắng, TS. Nguyễn Phương Huy","PGS.TS. NGUYỄN TUẤN MINH (CHỦ BIÊN), TS. TRẦN ANH THẮNG, TS. NGUYỄN PHƯƠNG HUY",231280,2,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/ce/f3/d7/69541c02a0446497f5e10dbf2eff8285.jpg
"Giáo Trình Kết Cấu Thép, Phần 1: Cấu Kiện Cơ Bản (Tái bản)",N/A,175000,26,1,4.0,https://salt.tikicdn.com/cache/280x280/ts/product/67/20/c3/254322aede3a5366e7bbce8a03fdc7f6.jpg
Phân Tích Dữ Liệu Với Power Bi - STK ,NHIEU TAC GIA,174250,17,1,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/1a/84/e4/85ee2378448af8cd2ca3af7ba7c71181.png
Sách- Phân Tích Và Khai Thác Dữ Liệu Với Power Query Trong Excel Và Power Bi ( Tặng sổ Tay Xương Rồng ),NGUYỄN QUỐC HUY,205000,4,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/2a/5a/7d/1169221c975a4170be0d3b7a87efdfa6.jpg
Giáo Trình Mạng Máy Tính  - Nguyễn Thế Lộc (ĐHSP),N/A,95000,2,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/d9/2a/f8/aa32dacfbb0cb464c10dea3d03be9739.jpg
Giáo Trinh Điện Tử Cơ Bản Lý Thuyết Và Thực Hành ,N/A,88000,141,21,4.5,https://salt.tikicdn.com/cache/280x280/ts/product/14/69/66/9de21871e98c21a3db6477f50cf95fbd.jpg
Sách - Giáo Trình Autocad 3D - Lý Thuyết & Thực Hành - Bìa mềm ( Tặng sổ tay xương rồng ),"PHẠM PHƯƠNG HOA, PHẠM QUANG HIỂN",143520,17,1,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/73/a7/56/4a6b117e04d5625d0b9e32b4338c22fd.jpg
Giáo trình Lập trình Python,N/A,103500,2,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/b2/42/dc/310bf5991164fb34902f7e6bf900d8a6.png
Combo Sách: Vật Lí Đại Cương Tập 2 - Điện Dao Động Sóng+ Bài Tập Vật Lí Đại Cương Tập 2 - Điện Dao Động Sóng  (Dùng Cho Các Trường Đại Học Khối Kỹ Thuật Công Nghiệp),LƯƠNG DUYÊN BÌNH,88200,37,7,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/87/2f/5d/01a6dd4fc2d4ac909e8e30a676d65d82.jpg
Bài Tập Lập Trình Với Ngôn Ngữ C++ Từ Cơ Bản Đến Nâng Cao - Tập 2,N/A,114000,10,1,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/7d/91/66/a2a2766035c023cddc2e7eb1a5de6105.jpg
Giáo Trình Mạch Điện Tử Tương Tự Và Số,NGUYỄN HOÀNG MAI,164640,19,4,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/9c/c0/7c/b343ce79ada81f8a7fb4e68320414430.jpg
Giáo Trình Hệ Thống Kỹ Thuật Trong Công Trình,.,95060,19,2,3.5,https://salt.tikicdn.com/cache/280x280/ts/product/c3/16/05/014bce144809c05ada5620b6b96cac8a.jpg
Giáo Trình Dự Toán Xây Dựng Cơ Bản ,BỘ XÂY DỰNG,69000,21,8,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/05/b3/ef/49c4f1626e8689f4c3398d554c49451c.jpg
Hướng Dẫn Thiết Kế Bài Giảng Stem/Steam Cho Lớp Mẫu Giáo 3-4 Tuổi (DT),N/A,35000,1,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/26/f6/b0/009387e05a084c043010cd5ca94afbb5.jpeg
Giáo Trình ĐỒ HỌA KỸ THUẬT - Engineering Drawing,N/A,175000,3,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/81/2a/11/48342e70b377660f96f235fe9f956fa5.jpg
Giáo Trình C++ Và Lập Trình Hướng Đối Tượng,"PHẠM VĂN ẤT, LÊ TRƯỜNG THÔNG",153000,20,2,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/94/30/38/08daf893c4976012c2857bf08715dae4.jpg
"Xử Lý Tín Hiệu Số, Tập 1 (Dùng cho sinh viên các ngành Điện tử, Tự động hóa, Viễn thông, Tin học)",N/A,139400,5,2,4.5,https://salt.tikicdn.com/cache/280x280/ts/product/f6/a1/bc/a87c924e515dd22c2dd400f911712d14.jpg
Sách: Giáo Trình C++ Và Lập Trình Hướng Đối Tượng,N/A,165419,1,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/d6/0e/09/7c48a0e134d985f72b84f63727d6a09d.jpg
"Giáo trình Kỹ thuật, công nghệ cơ khí cơ bản",N/A,235000,28,5,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/9a/12/76/794393d968b76d793f3399adfd87eb10.jpg
"Kết Cấu Bê Tông Cốt Thép Thiết Kế Theo Tiêu Chuẩn Châu Âu (Tái bản lần thứ hai, có sửa chữa) - GS.TS. Phan Quang Minh (Chủ biên), GS.TS. Ngô Thế Phong","PHAN QUANG MINH, NGÔ THẾ PHONG",113490,1,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/18/da/88/b3b83a8b2a5d429cbb172ecc31201e24.jpg
Thương Mại Điện Tử,TS. NGUYỄN VĂN HÙNG (CHỦ BIÊN),98420,34,6,4.5,https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img211.u2469.d20160802.t133156.316360.jpg
Giáo trình kỹ thuật an toàn hệ thống lạnh,N/A,50000,5,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/38/1a/79/cf07e69760b93c41e7d2243c5ea787a4.jpg
Giáo Trình Lập Trình Android,LÊ HOÀNG SƠN,70810,44,7,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/7c/89/f5/4e3f9ae4ee6d6843b4abf31fdc4bdc6e.jpg
Giáo Trình Kỹ Thuật Thi Công - Tập 2 (Tái bản),N/A,98000,64,8,4.3,https://salt.tikicdn.com/cache/280x280/ts/product/7d/57/5a/a44bf875bf3321be805b6612685ecb0d.jpg
Giáo trình trang bị điện - điện tử các máy công nghiệp (tập 1) (Dùng cho các trường đào tạo hệ cử nhân cao đẳng kỹ thuật),N/A,55000,7,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/c3/34/e7/11ef3bab630bfb49581a818efcb3f6a4.png
