ten sach,ten tac gia,gia sach,so luong da ban,so luong binh luan,danh gia trung binh,anh sach
Tổ Hợp - Nguyên Lý - Đồ Thị - Nhóm Và Tô Màu,N/A,95450,10,1,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/14/cc/0d/944fd140a9a74a5f09010f7f45e3be16.jpg
"Giáo trình Những nguyên lí cơ bản trong hóa học 2 - Nguyễn Văn Hải (Chủ biên), Nguyễn Thị Thanh Chi, Lê Hải Đăng, Ngô Tuấn Cường, Lê Văn Khu, Hoàng Văn Hùng, Đinh Thị Hiền",N/A,95000,1,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/25/68/64/117472fb2b3fc9e0b7a5da013428eaa9.jpg
"Giáo trình Cơ sở Hóa học Hữu cơ Phần 1: Đại cương Hóa học Hữu cơ và Hydrocarbon - Vũ Quốc Trung (Chủ biên), Nguyển Hiển, Đặng Ngọc Quang, Nguyễn Đăng Đạt, Dương Quốc Hoàn, Đường Khánh Linh, Trương Minh Lương",N/A,125000,1,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/e9/20/9a/7ca6bf50a22a8f5a117e1be171b91f12.jpg
Giáo trình lí luận và phương pháp dạy học mĩ thuật,N/A,75000,1,1,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/7b/33/79/4a166d881a0ded229d9135c549a88154.jpeg
"Giáo trình hiểu biết chung về quân, binh chủng (Dùng cho đào tạo giáo viên, giảng viên giáo dục quốc phòng, an ninh)",N/A,54000,9,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/1c/06/b1/51ef17fb05013ca0f7525964b829b3d1.jpg
Giáo Trình Tiếng Việt Thực Hành (ĐHSP),N/A,80000,11,2,4.5,https://salt.tikicdn.com/cache/280x280/ts/product/51/90/8a/37cc8687c3a2f07ecfb216bdcaafe074.jpg
"Đánh Giá Năng Lực, Phẩm Chất Học Sinh Theo Chương Trình Giáo Dục Phổ Thông 2018",N/A,65000,54,13,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/23/68/6a/a9806a981b3f4cca24d01e243b6385f7.jpg
Sổ tay Dạy Học Ngữ Văn (ĐHSP),ĐỖ NGỌC THỐNG,65000,6,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/f4/32/86/8ca45aa497b0e5116847275938561d93.jpg
Rèn Luyện Kĩ Năng Nghiệp Vụ Sư Phạm Trong Đào Tạo Giáo Viên,N/A,65000,92,15,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/04/01/92/75cffac6ffa40b8420d3899a0d652a18.jpg
Giáo Trình Kiểm Tra Đánh Giá Trong Giáo Dục (Tái bản 2021),N/A,72000,45,5,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/57/08/0c/5a74839e9fc6e436bdbb5f70e8abf9c1.jpg
Giáo Trình Tâm Lí Học Giáo Dục,N/A,89000,157,23,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/b6/57/e7/e880699cd78d679a078168ddcc6ae0fe.jpg
"CẨM NANG NGHIỆP VỤ SƯ PHẠM VÀ KỸ NĂNG QUẢN LÝ, GIẢNG DẠY TRONG HỌC ĐƯỜNG",NGUYỄN PHƯƠNG,229500,19,5,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/a9/af/19/c49da16407e3f3901e4015938897ea06.jpg
Giáo trình Lí luận dạy học - Đỗ Hương Trà - Phó Đức Hòa (Đồng chủ biên)...,N/A,60000,1,1,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/63/61/92/8e79629bf1ee2663ba58a4f052840236.jpg
"Giáo trình Cấu trúc dữ liệu và Giải thuật (2024) - Đỗ Trung Kiên (Chủ biên), Đặng Xuân Thọ, Nguyễn Thị Hồng, Phạm Thị Lan",N/A,95000,1,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/61/de/a4/6c23985f22e16f5063997de938b54283.jpg
Tâm Lí Học Trẻ Em Lứa Tuổi Mầm Non,N/A,80000,159,21,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/51/69/33/f4cf03b678b26ead0f4c489be6218f2c.jpg
Dạy Và Học Tích Cực Một Số Phương Pháp Và Kĩ Thuật Dạy Học (Tái bản năm 2022),N/A,85000,65,8,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/90/bd/fc/c059d6e1d4f1903a4a74846bb57025fb.jpg
"Giáo trình Hình học Tuyến tính - Đỗ Đức Thái (Chủ biên), Trần Văn Tấn, Phạm Hoàng Hà, Phạm Anh Minh",NHIEU TAC GIA,65000,1,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/f0/12/17/30ffcb3925b9a8ffdeb90cf295e41083.jpg
