ten sach,ten tac gia,gia sach,so luong da ban,so luong binh luan,danh gia trung binh,anh sach
"Người Bình Thường Không Ai Khởi Nghiệp - Nghe Chuyện Thành Bại, Cho Chủ Mới Bớt Chơi Vơi!",N/A,167000,371,14,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/c2/77/70/49698947ff22eb75d8cf464ed531f57c.png
9 Lần Khởi Nghiệp - Chuyện Kể Về Những Thất Bại Và Thành Công Của Một Triệu Phú,NGUYỄN PHƯƠNG NAM,149000,3127,343,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/06/f2/a6/ee0891089d257986454a543bb51d9f4d.png
Giải Mã Hành Vi Disc: Bạn Thuộc Kiểu Lãnh Đạo Nào Trong 8 Nhóm Hành Vi?,"JEFFREY SUGERMAN, MARK SCULLARD, EMMA WILHELM",85000,143,9,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/6b/01/3f/bb642a8047cb5f5cc4c0e872892389d4.jpg
Tâm Thư Của Warren Buffett Dành Cho Con Cái,N/A,137240,196,8,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/20/e4/fb/dd47aa254b4a57faefe94c5c1f0eb5f6.jpg
Góc Nhìn Alan - Dành Tặng Doanh Nhân Việt Trong Thế Trận Toàn Cầu,ALAN PHAN,199000,1199,127,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/e0/d6/36/29ef581680b81198a2c02f69a83e7c1d.jpg
"Người Bình Thường Không Ai Khởi Nghiệp - Nghe Chuyện Thành Bại, Cho Chủ Mới Bớt Chơi Vơi!",N/A,167000,371,14,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/c2/77/70/49698947ff22eb75d8cf464ed531f57c.png
Những Kẻ Xuất Chúng (Tái Bản),MALCOLM GLADWELL,115000,789,56,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/29/15/97/f535cd564d0fd8131efcae2ac921f782.jpg
Triết Lý Đầu Tư Của Warren Buffett (Warren Buffett – Inside the Ultimate Money Mind) - Robert G. Hagstrom - PACE Books,ROBERT G HAGSTROM,171600,10,2,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/9a/97/74/70cfd86154b668606edbb148698eb2bc.png
Những Chân Lý Đơn Giản Về Lãnh Đạo (Simple Truths of Leadership) - Ken Blanchard và Randy Conley - PACE Books,KEN BLANCHARD,94300,N/A,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/ab/a1/d8/ff564b9459085721bfe4b674e14a4ad3.png
Chạm Tay Hóa Vàng (Tái Bản),DONALD J.TRUMP,86100,3288,324,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/3b/d9/53/4424d53171bd422bf9990dda6c81fafb.jpg
Triết Lý Đầu Tư Của Warren Buffett (Warren Buffett – Inside the Ultimate Money Mind) - Robert G. Hagstrom - PACE Books,ROBERT G HAGSTROM,150000,1,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/9a/97/74/70cfd86154b668606edbb148698eb2bc.png
Góc Nhìn Alan - Bộ Di Sản Alan Phan,ALAN PHAN,516000,2192,248,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/19/d6/e2/6dc445e282f3f316072cd7f7808e2227.jpg
Chết Vì Chứng Khoán,RICHARDS,143280,389,74,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/06/12/f8/fe9ebb72776d7735e45fc19950e05338.png
Bản Lĩnh CTO: Kế Hoạch 100 Ngày Trở Thành Giám Đốc Công Nghệ Xuất Sắc,N/A,117640,110,1,4.0,https://salt.tikicdn.com/cache/280x280/ts/product/ff/0a/84/5ffc5eccfee2ee75a3f2731742ab2df6.jpg
Combo 5 Cuốn: Bộ Công Cụ Xây Dựng Đo Lường Toàn Bộ Các Chỉ Số Của Doanh Nghiệp,NHÓM TÁC GIẢ,416650,27,5,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/e0/33/24/1508eab82cbaa8cd942db58c6e8fa847.jpg
Giải Mã Hành Vi Disc: Bạn Thuộc Kiểu Lãnh Đạo Nào Trong 8 Nhóm Hành Vi?,"JEFFREY SUGERMAN, MARK SCULLARD, EMMA WILHELM",102100,699,61,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/10/68/03/7504e0c88b360331487d7c2c0c68c93d.jpg
9 Lần Khởi Nghiệp - Chuyện Kể Về Những Thất Bại Và Thành Công Của Một Triệu Phú,NGUYỄN PHƯƠNG NAM,149000,3127,343,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/06/f2/a6/ee0891089d257986454a543bb51d9f4d.png
Warren Buffett - Quá Trình Hình Thành Một Nhà Tư Bản Mỹ (Tái Bản),ROGER LOWENSTEIN,205000,525,87,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/5b/6b/2d/fb3ef883e8c8350c46e818a56025960a.jpg
Khác Biệt Để Vươn Tầm - Hành Trình Khởi Nghiệp Của Mai Quốc Bình - CEO Thế Giới Giấy - Thay Đổi Và Hành Động Để Vươn Tầm,MAI QUỐC BÌNH,252000,725,55,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/fc/7e/e9/9c4e193f4f9ec1644b912e09945e0e82.png
Gã nghiện giày - Tự truyện của nhà sáng lập Nike,PHIL KNIGHT,161000,187,18,4.6,https://salt.tikicdn.com/cache/280x280/ts/product/33/fd/f2/5dcf6cac2a845e962e11d0beb15901ca.jpg
Phương Pháp Quản Trị Mục Tiêu – Triết Lý Kinh Doanh Của Công Ty Tỷ Đô BYTEDANCE,N/A,137240,36,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/8f/54/ef/bc5882713b138815003aa4c7b3981609.jpg
Sách Hành Trình Xây Dựng Thương Hiệu Cá Nhân,N/A,122640,69,3,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/1b/08/24/1585d0d04cdec44737cee2c084193e23.jpg
5 Nguyên Tắc Bất Biến Để Xây Dựng Đội Nhóm Vô Địch,N/A,140160,55,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/eb/76/dc/a39ce7f1eff6020779bb7f9743df12c2.jpg
