ten sach,ten tac gia,gia sach,so luong da ban,so luong binh luan,danh gia trung binh,anh sach
Khởi Nghiệp Kinh Doanh Online - Bán Hàng Hiệu Quả Trên Shopee,N/A,151000,1207,85,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/af/03/9c/d2ccab75a7c7df6b2722c1971619c406.png
Bộ Sách Khởi Nghiệp Kinh Doanh Online - Marketing và Bán Hàng Hiệu Quả Với Thương Mại Điện Tử Tại Việt Nam,N/A,273000,829,65,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/aa/b9/41/58914fb12b57db9a6e58143718ed5bc4.png
Bí Quyết Khởi Nghiệp Kinh Doanh Và Quản Lý Quán Cà Phê Từ A-Z,NGUYỄN TẤN TRUNG,219000,70,1,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/9b/79/54/c4c874fc3e5b10bb1a58a3cb4b980863.jpg
Khởi Nghiệp Bán Lẻ - Bí Quyết Thành Công Và Giàu Có Bằng Những Cửa Hàng Đông Khách - Công Thức Kinh Doanh Và Quản Lý Cửa Hàng Hiệu Quả,TRẦN THANH PHONG,120000,29917,2308,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/87/89/7d/5bf87088791bcd0d58e3400636f472c4.png
Khởi Nghiệp Tinh Gọn,JOHN MULLINS,144000,72,3,4.0,https://salt.tikicdn.com/cache/280x280/ts/product/d3/d5/51/58ca2cfc7ffc5244d4b319c0c0262adf.jpg
Khủng hoảng không bắt đầu từ truyền thông,LÊ QUỐC VINH,217000,34,1,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/57/87/76/9ededc77eec76720613f347f80312e35.jpg
Naval Ravikant - Để thịnh vượng và hạnh phúc,ERIC JORGENSON,155000,503,26,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/9c/9e/00/389effb0ab4bc92db22ee648910c4c2f.jpg
Khởi Nghiệp Tinh Gọn (The Lean Startup) (Tái Bản),ERIC RIES,124000,4266,554,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/55/59/ec/d6d8afbcf77c37f8aeed48e8b3dde0d4.jpg
Khởi Nghiệp Kinh Doanh Cà Phê - 8 Bước Xây Dựng Thành Công Từ Con Số 0 - Bí Quyết Mở Quán Cafe Đông Khách,N/A,149000,1486,65,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/6c/75/a7/cfba364c36b993cfb512a010b6fdd6e7.png
Khởi Nghiệp Bán Lẻ - Bí Quyết Thành Công Và Giàu Có Bằng Những Cửa Hàng Đông Khách - Công Thức Kinh Doanh Và Quản Lý Cửa Hàng Hiệu Quả,TRẦN THANH PHONG,120000,29917,2308,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/87/89/7d/5bf87088791bcd0d58e3400636f472c4.png
Khởi Nghiệp Du Kích - Kinh Doanh Ít Vốn - Vận Dụng Nguồn Lực Nhỏ Chiến Thắng Cuộc Chơi Lớn (Tái Bản),TRẦN THANH PHONG,155000,7088,991,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/86/a5/96/dda17998cf067146579f6bd161e8907d.png
Khởi Nghiệp Tinh Gọn (The Lean Startup) (Tái Bản),ERIC RIES,132000,N/A,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/25/4f/d8/3cb71f5a17d03237bc5a9bc61fbd7e83.jpg
Tư Duy Triệu Đô - Phá bỏ quy tắc cũ để đạt được 1 triệu đô la đầu tiên,CHRISTIAN STANG,238000,3,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/45/06/85/a2e1b170a09228ee3eebcf92606f0aa7.jpg
Họ Đã Khởi Nghiệp Thế Nào? Câu Chuyện Khởi Nghiệp Của 30 Doanh Nghiệp Thành Công,DAVID LESTER,60000,481,56,4.6,https://salt.tikicdn.com/cache/280x280/ts/product/ba/5d/5e/72ca52331ed155bc87e21301c92ee3c2.jpg
Quốc Gia Khởi Nghiệp - Câu Chuyện Về Nền Kinh Tế Thần Kỳ Của Israel (Tái Bản),"DAN SENOR, SAUL SINGER",150000,2,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/16/40/44/8b0cf7a85a4d715283e286ce7e75270f.png
Triệu phú thần tốc,MJ DEMARCO,216000,1237,146,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/8d/69/c5/a52920c14b1313bc9fba3af2664c2b19.jpg
Không Đến Một (Tái Bản - Bìa Cam),"BLAKE MASTERS, PETER THIEL",82600,2506,308,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/71/4a/7c/76cf7ff0783eafef6708c5eb4c387e67.jpg
Khởi Nghiệp Kinh Doanh Online - Bán Hàng Hiệu Quả Trên Shopee,N/A,151000,1207,85,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/af/03/9c/d2ccab75a7c7df6b2722c1971619c406.png
Sứ mệnh khởi nghiệp,MJ DEMARCO,206000,1081,160,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/91/26/ca/bba0b6992cafc6954b1368f1a86a0907.jpg
Huấn Luyện Doanh Nghiệp,N/A,123039,19,1,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/c6/fd/c6/3b0610600e550c6e1bc702c7e9d02256.png
Để Làm Nên Sự Nghiệp (Tái Bản),H.N. CASSON,88800,95,6,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/16/a0/06/e0a2915fd9c5ebe5ebd0296e7801dd4d.jpg
Bí Mật Dotcom (Tái Bản 2021),RUSSEL BRUNSON,149400,330,35,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/0d/40/7a/954287e689037fff27fd6cf7430747df.jpg
Hiểu Hết Về Khởi Nghiệp – How To Start Your Own Business,DK,263900,N/A,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/01/08/c6/eaf6914643f4d3e4607469322ab63241.jpg
Bí Quyết Gây Dựng Cơ Nghiệp Bạc Tỷ  ,N/A,125500,69,2,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/4d/ad/1d/7afcff2b624e93b6f856c1f71838b375.jpg
Con Đường Khởi Nghiệp,ERIC RIES,160500,N/A,0,0.0,https://salt.tikicdn.com/cache/280x280/ts/product/e4/18/d0/2f6b11b054f528287c9415ed0027f5d2.jpg
Hành Trình Biến Những Điều Tưởng Như Không Thể Thành Có Thể,HOÀNG HỮU THẮNG,177000,21,1,4.0,https://salt.tikicdn.com/cache/280x280/ts/product/4c/42/bb/891b56aebd0c2334a3c6fde044fc7236.jpg
MADE IN VIETNAM,N/A,279000,162,18,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/d4/d5/13/cd1b2513a60398b2fb8c62ffe1eacc3d.jpg
Khởi Nghiệp Du Kích - Kinh Doanh Ít Vốn - Vận Dụng Nguồn Lực Nhỏ Chiến Thắng Cuộc Chơi Lớn (Tái Bản),TRẦN THANH PHONG,155000,7088,991,4.8,https://salt.tikicdn.com/cache/280x280/ts/product/86/a5/96/dda17998cf067146579f6bd161e8907d.png
SỬ KÝ FPT 35 NĂM - Từ tay trắng đến tập đoàn toàn cầu,FPT,270000,481,21,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/22/16/cb/f12ef247d554d70335e57c7c988b5ddf.png
COACH - Khởi Nghiệp Độc Lập Bằng Kỹ Năng Khai Vấn,TRẦN TIẾN CÔNG,213000,245,19,4.8,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/d0/70/90/f0c0919bd1cd4f2982a2c231ada79f46.jpg
Không có sông quá dài Cẩm nang dành cho những người khởi nghiệp,NHIỀU TÁC GIẢ,113000,179,12,4.7,https://salt.tikicdn.com/cache/280x280/ts/product/af/3d/ac/7ea8c0d67adbd388e5a001ae9eefcc1c.jpg
Hiểu Hết Về Khởi Nghiệp – How To Start Your Own Business,DK,255000,226,13,5.0,https://salt.tikicdn.com/cache/280x280/ts/product/01/08/c6/eaf6914643f4d3e4607469322ab63241.jpg
